IndicatorID,Indicator,Definition,Rationale,Data source,Indicator production,Indicator source,Methodology,Standard population/values,Confidence interval details,Source of numerator,Definition of numerator,Source of denominator,Definition of denominator,Disclosure control,Caveats,Copyright,Data re-use,Links,Indicator number,Notes,Frequency,Rounding,Data quality,Indicator Content,Specific rationale,Unit,Value type,Year type,Polarity
114,QOF Total List Size,Total number of patients registered with the practice. Datais sourced from the latest Exeter National Health Application and Infrastructure Services (NHAIS) extract on or before 1 April for the previous financial year.,NA,QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Count,Financial,Not applicable
200,Number of people with learning disabilities known to GPs: % on register,"The percentage of patients with learning disabilities, as recorded on practice disease registers.",People who have a learning disability are more likely to develop mental health problems than other people.,NHS Digital- Quality and Outcomes Framework (QOF),NA,Data for 2016/17 can be downloaded from  http://digital.nhs.uk/catalogue/PUB30124,NA,NA,NA,NA,"The total number of patients with learning disabilities, as recorded on practice disease register",NA,All registered patients,NA,NA,NA,NA,NA,NA,Indicator definition has changed in 2014/15. This indicator used to be for patients 18 years and over. It is now for all ages.,NA,NA,3,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
212,Stroke: Recorded prevalence (all ages),"The percentage of patients with stroke or transient ischaemic attack (TIA), as recorded on practice disease registers (proportion of total list size).
CCG: The recorded stroke/TIA prevalence is the number of people with stroke/TIA recorded on their practice register within a CCG, as a proportion of the all age practice list size of the CCG.
Local authority: The recorded stroke/TIA prevalence is the number of people with stroke/TIA recorded on their practice register as a proportion of the practice list size (all ages), allocated to a local authority boundary using the postcode of the practice.","Stroke is the third most common cause of death in the developed world. One quarter of stroke deaths occur under the age of 65 years. There is evidence that appropriate diagnosis and management can improve outcomes.Regular physical activity can help to prevent and manage over 20 chronic conditions and diseases, many of which are on the rise and affecting people at an earlier age; 1 in 3 of the working age population have at least one long term condition and 1 in 7 have more than one.Persuading inactive people to become more active could prevent one in ten cases of stroke and heart disease.","Quality Outcomes Framework (QOF), NHS Digital",NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,"Patients with stroke or transient ischaemic attack (TIA), as recorded on practice disease registers.",NA,The total practice list size (the number of people registered with each GP practice in England).,NA,"This indicator is a measure of recorded prevalence and not actual prevalence and therefore under-reports groups who are less likely to be registered with a GP, such as ethnic minority populations, homeless people, migrants and travellers. QOF registers are constructed to underpin indicators on quality of care, and they do not necessarily equate to prevalence as may be defined by epidemiologists. Caution should be taken when interpreting this indicator as higher than average value may mean that the prevalence of the condition is high in an area, but it could also indicate that detection is better there; this is for local knowledge to determine.Caveat for Local Authority measure:The intended measure is a resident based measure at local authority geography. However the required base datasets are not available at the local authority level. Therefore a proxy registration based measure has been constructed which illustrates the proportion of individuals with stroke in the registered population apportioned to local authority geographies, based on the postcode of their primary care practice.For local authorities that are geographically coterminous with CCGs, please note that values may not be the same as the CCG value.",NA,NA,NA,NA,NHS Digital advises a number of practices in Somerset CCG opted out of national QOF arrangements for 2014/15 and 2015/16. This means that reporting on individual clinical indicators will appear lower than practices who have continued to deliver national QOF.,NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - Low is good
219,Hypertension: Recorded prevalence (all ages),"The percentage of patients with established hypertension, as recorded on practice disease registers (proportion of people registered at GP practices) in England.CCG:The recorded hypertension prevalence is the number of people with hypertension recorded on their practice register within a CCG, as a proportion of the all age practice list size of the CCG.Local authority:The recorded hypertension prevalence is the number of people with hypertension recorded on their practice register as a proportion of the practice list size (all ages), allocated to a local authority boundary using the postcode of the practice.","Regular physical activity can help to prevent and manage over 20 chronic conditions and diseases, many of which are on the rise and affecting people at an earlier age; 1 in 3 of the working age population have at least one long term condition and 1 in 7 have more than one.They include cancer and diabetes, and conditions like obesity, hypertension and depression.","Quality Outcomes Framework (QOF), NHS Digital",NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,"The number of patients with established hypertension in England, as recorded on practice disease registers.",NA,The total practice list size (the number of people registered with each GP practice in England).,NA,The lower tier local authority versions of this indicator were calculated using the sum of all of the GP practices populations in the local authority. Practices were allocated to the local authority by their postcodes. The numerators and denominators are based on the practice populations not on the resident population of that local authority,NA,NA,NA,NA,NHS Digital advises a number of practices in Somerset CCG opted out of national QOF arrangements for 2014/15 and 2015/16. This means that reporting on individual clinical indicators will appear lower than practices who have continued to deliver national QOF.,NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - Low is good
224,Epilepsy: QOF prevalence (18+),"The percentage of patients aged 18 years and over with epilepsy, as recorded on practice disease registers.","Epilepsy is the most common serious neurological condition, affecting about five to ten per 1000 of the population at any one time. Few epilepsies are preventable, but appropriate clinical management can enable most people with epilepsy to lead a full and productive life. For the purposes of the QOF, epilepsy is defined as ‘recurrent unprovoked seizures’.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Patients aged 18 years and over with epilepsy,NA,Estimated number of registered patients aged 18+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
241,Diabetes: QOF prevalence,"The percentage of patients aged 17 years and over with diabetes mellitus, as recorded on practice disease registers.","The rationale of including this indicator in this profile is because memory loss and reduced brain functioning can occur during periods of low blood glucose (hypoglycemia) and high blood glucose (hyperglycemia) can affect memory over the longer term for people with type 1 and type 2 diabetes.  http://www.nhs.uk/Conditions/Diabetes/Pages/Diabetes.aspx The Blackfriars Consensus publication (2014) states that given the evidence that there may be a vascular component to many dementias and intermediate disease precursors such as diabetes should also help reduce the risk, progression and severity of dementia. http://nhfshare.heartforum.org.uk/RMAssets/Reports/Blackfriars%20consensus%20%20_V18.pdf The NICE dementia prevention report recommends that Public Health England, NHS England, relevant national third-sector organisations and health and social care commissioners should include dementia in strategy documents aimed at preventing other non-communicable chronic conditions (for example cardiovascular disease, type 2 diabetes, stroke and chronic obstructive pulmonary disease). Make it clear that some common unhealthy behaviours can increase the risk of dementia and that addressing those behaviours will reduce the likelihood of developing dementia and other non-communicable chronic conditions (Recommendation 2) https://www.nice.org.uk/guidance/ng16 The ambition is to reduce the number of people with diabetes by encouraging individuals to adopt healthy lifestyles which in turn could reduce the population risk of dementia.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Patients aged 17 years and over with diabetes mellitus.,NA,Total number of patients aged 17 years and over.,NA,"This indicator is a measure of recorded prevalence and not actual prevalence and therefore under-reports groups who are less likely to be registered with a GP, such as ethnic minority populations, homeless people, migrants and travellers. QOF registers are constructed to underpin indicators on quality of care, and they do not necessarily equate to prevalence as may be defined by epidemiologists.Caution should be taken when interpreting this indicator as higher than average value may mean that the prevalence of the condition is high in an area, but it could also indicate that detection is better there; this is for local knowledge to determine.Caveat for Local Authority measure:The intended measure is a resident based measure at local authority geography. However the required base datasets are not available at the local authority level. Therefore a proxy registration based measure has been constructed which illustrates the proportion of individuals with diabetes in the registered population apportioned to local authority geographies, based on the postcode of their primary care practice.For local authorities that are geographically coterminous with CCGs, please note that values may not be the same as the CCG value.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - Low is good
247,Number of adults with dementia known to GPs: % on register,"The recorded dementia prevalence is the number of people with dementia recorded on their practice register within a CCG, as a proportion of people (all ages) registered at each GP practice within a CCG.","Objective two of the National Dementia Strategy (2009) states 'all people with dementia to have access to…. treatment, care and support as needed following diagnosis'.
The recorded dementia prevalence provides an indication of the concentration, within a population, of the number of people who have been diagnosed and who are now living with the condition. This indicator can be used to inform local service planning as to the scale of services required to provide treatment, care and support as needed, so those with dementia can be living well with the condition.","Quality Outcomes Framework (QOF), Health and Social Care Information Centre (HSCIC)",NA,Quality Outcomes Framework Data 2017 to 2018: For data please visit https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18,numerator / denominator,NA,NA,"Quality Outcomes Framework (QOF), NHS Digital",The number of patients with dementia (all ages) as recorded on GP practice disease registers in each CCG.,"Quality Outcomes Framework (QOF), NHS Digital",The number of patients (all ages) registered with a GP practice within a CCG.,NA,"This indicator is a measure of recorded prevalence and not actual prevalence and therefore under-reports groups who are less likely to be registered with a GP, such as ethnic minority populations, homeless people, migrants and travellers. QOF registers are constructed to underpin indicators on quality of care, and they do not necessarily equate to prevalence as may be defined by epidemiologists. Caution should be taken when interpreting this indicator as higher than average value may mean that the prevalence of the condition is high in an area, but it could also indicate that detection is better there; this is for local knowledge to determine.",NA,NA,NA,NA,NA,NA,NA,3,NA,"Objective two of the National Dementia Strategy (2009) states 'all people with dementia to have access to…. treatment, care and support as needed following diagnosis'.
The recorded dementia prevalence provides an indication of the concentration, within a population, of the number of people who have been diagnosed and who are now living with the condition. This indicator can be used to inform local service planning as to the scale of services required to provide treatment, care and support as needed, so those with dementia can live well with the condition.",%,Proportion,Financial,BOB - Blue orange blue
248,Exception rate for dementia: % of patients on dementia register excluded from quality indicators,"The effective exception rate for dementia indicators, defined as the sum of exceptions as a proportion of the sum of exception and denominators for indicators in the dementia group.
Exceptions relate to patients who are on the disease register, and who would ordinarily be included in the indicator denominator. However they are excepted from the indicator denominator because they meet at least one of the GMS contract Statement of Financial Entitlements (SFE) exception criteria, which are listed in the QOF Technical Annex","Exception reporting was introduced into the Quality and Outcomes Framework in order to allow practices to pursue the quality improvement agenda and not be penalised, where, for example, patients do not attend for review, or where a medication cannot be prescribed due to a contraindication or side-effect. See the<a href=""http://www.qof.ic.nhs.uk/faqs/index.asp"" title=""FAQs from the Information Centre on exception reporting."" target=""_blank"">FAQs from the Information Centre on exception reporting.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",100* Sum of (Indicator Exceptions) / Sum of (Indicator Exceptions + Indicator Denominator),NA,NA,NA,since 2015/16: Sum of exceptions for QOF indicators DEM004 (DEM002 renamed) and DEM005 (DEM003 remamed) 2013/14 and 2014/15: Sum of exceptions for QOF indicators DEM002 and DEM0032012/13: Sum of exceptions for QOF indicators DEM02 and DEM042011/12: Sum of exceptions for QOF indicators DEM02 and DEM03,NA,since 2015/16: Sum of exceptions plus denominators for QOF indicatorsDEM004 (DEM002renamed) and DEM005 (DEM003 remamed)2013/14 and 2014/15: Sum of exceptions plus denominators for QOF indicators DEM002 and DEM0032012/13: Sum of exceptions plus denominators for QOF indicators DEM02 and DEM042011/12: Sum of exceptions plus denominators for QOF indicators DEM02 and DEM03,NA,"Numbers of exceptions and the sum of the denominators refer to patient records associated with indicators, not individual patients. Individual patients can occur in more than one indicator group, and can occur more than once in any specific indicator group when associated with more than one indicator.Due to changes to the indicators whose exceptions are calculated caution should be exercised when comparing results year-on-year (see numerator and denominator definition).
Care should be taken not to draw false inferences from headline figures of exception rates calculated at practice level. For example, rates which appear to be very high (especially at individual indicator level) may simply be a function of very small numbers of patients. Similarly, very low (or zero) rates at indicator level could also result from very small numbers of patients.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
253,COPD: QOF prevalence (all ages),"The percentage of patients with COPD, as recorded on practice disease registers.","Chronic Obstructive Pulmonary Disease (COPD) is a common disabling condition with a high mortality. The most effective treatment is smoking cessation. Oxygen therapy has been shown to prolong life in the later stages of the disease and has also been shown to have a beneficial impact on exercise capacity and mental state. Some patients respond to inhaled steroids. Many patients respond symptomatically to inhaled beta agonists and anti-cholinergics. Pulmonary rehabilitation has been shown to produce an improvement in quality of life.

The majority of patients with COPD are managed by GPs and members of the primary healthcare team with onward referral to secondary care when required.",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,Patients with COPD as recorded on practice disease register.,NA,Total practice list size,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,BOB - Blue orange blue
258,Chronic kidney disease,"The percentage of patients aged 18 years and over with chronic kidney disease (CKD) with classification of categories G3a to G5, as recorded on practice disease registers.","CKD is a long term condition; the National Health and Nutrition Examination Survey (NHANES 1999-2004) suggested that the age standardised prevalence of stage 3 to 5 CKD in the non-institutionalised American population is approximately six per cent. The prevalence in females was higher than in males (6.9 per cent versus 4.9 per cent). In the fully adjusted model, the prevalence of low GFR was strongly associated with diagnosed diabetes (OR, 1.54; 95% CI, 1.28-1.80) and hypertension (OR, 1.98; 95%CI, 1.73-2.67) as well as higher BMI (OR, 1.08; 95% CI, 1.02-1.15 per 5-unit increment of BMI).",QOF,NA,"Data for 2017/18 can be downloaded from  https://digital.nhs.uk/data-and-information/publications/statistical/quality-and-outcomes-framework-achievement-prevalence-and-exceptions-data/2017-18
For other data years please search on the  https://digital.nhs.uk",NA,NA,NA,NA,"Patients aged 18 years and over with CKD, as recorded on practice disease registers",NA,Estimated number of registered patients aged 18+ years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,%,Proportion,Financial,RAG - Low is good
